Ally Financial Inc. ALLY , ALLY,  26.03 
American Lorain Corporation ALN , ALN,  0.1697 
Alio Gold Inc.  (Canada) ALO , ALO,  1.68 
Allison Transmission Holdings, Inc. ALSN , ALSN,  41.86 
Autoliv, Inc. ALV , ALV,  150.54 
Antero Midstream Partners LP Common Units representing limited partner interests AM , AM,  30.98 
Amber Road, Inc. AMBR , AMBR,  9.15 
AMC Entertainment Holdings, Inc. Class A AMC , AMC,  14.80 
AMETEK, Inc. AME , AME,  74.21 
Affiliated Managers Group, Inc. AMG , AMG,  161.23 
American Midstream Partners, LP Common Units representing Limited Partner Interests AMID , AMID,  10.60 
AMN Healthcare Services Inc AMN Healthcare Services Inc AMN , AMN,  56.75 
America Movil, S.A.B. de C.V. Class A American Depositary Shares AMOV , AMOV,  15.64 
Ameriprise Financial, Inc. AMP , AMP,  140.25 
Ampio Pharmaceuticals, Inc. AMPE , AMPE,  1.91 
Ameresco, Inc. Class A AMRC , AMRC,  12.00 
Amneal Pharmaceuticals, Inc. Class A AMRX , AMRX,  19.86 
American Shared Hospital Services AMS , AMS,  2.80 
America Movil, S.A.B. de C.V. American Depository Receipt Series L AMX , AMX,  15.79 
AutoNation, Inc. AN , AN,  46.61 
Andeavor ANDV , ANDV,  149.68 
Andeavor Logistics LP Common Units representing Limited Partner Interests ANDX , ANDX,  43.79 
Arista Networks, Inc. ANET , ANET,  261.22 
Abercrombie & Fitch Company ANF , ANF,  21.77 
Amira Nature Foods Ltd Ordinary Shares ANFI , ANFI,  2.50 
Anthem, Inc. ANTM , ANTM,  221.50 
Aegean Marine Petroleum Network Inc. ANW , ANW,  3.05 
Aberdeen Total Dynamic Dividend Fund AOD , AOD,  8.96 
Alliance One International, Inc. AOI , AOI,  21.05 
Aon plc Class A Ordinary Shares (UK) AON , AON,  140.08 
Aon plc Class A Ordinary Shares (UK) AON , AON,  140.08 
A.O. Smith Corporation AOS , AOS,  63.54 
Ampco-Pittsburgh Corporation AP , AP,  10.35 
Apache Corporation APA , APA,  38.97 
Artisan Partners Asset Management Inc. Class A APAM , APAM,  32.85 
Asia Pacific Fund, Inc. (The) APB , APB,  14.7454 
Anadarko Petroleum Corporation APC , APC,  71.05 
Air Products and Chemicals, Inc. APD , APD,  163.54 
Morgan Stanley Asia-Pacific Fund, Inc. APF , APF,  17.7202 
Amphenol Corporation APH , APH,  88.37 
Apollo Global Management, LLC Class A  Representing Class A Limitied Liability Company Interests APO , APO,  32.33 
Blue Apron Holdings, Inc. Class A APRN , APRN,  3.19 
Alpha Pro Tech, Ltd. APT , APT,  3.50 
Aptiv PLC Ordinary Shares APTV , APTV,  99.08 
AmeriGas Partners, L.P. APU , APU,  41.68 
Apergy Corporation APY , APY,  41.25 
Aquantia Corp. AQ , AQ,  11.63 
Algonquin Power & Utilities Corp. AQN , AQN,  9.79 
Evoqua Water Technologies Corp. AQUA , AQUA,  18.95 
Antero Resources Corporation AR , AR,  19.40 
Antero Resources Corporation AR , AR,  19.40 
American Renal Associates Holdings, Inc ARA , ARA,  14.26 
ARC Document Solutions, Inc. ARC , ARC,  1.92 
Arch Coal, Inc. Class A ARCH , ARCH,  83.81 
Arcos Dorados Holdings Inc. Class A Shares ARCO , ARCO,  7.45 
Ardagh Group S.A. ARD , ARD,  17.22 
Ares Dynamic Credit Allocation Fund, Inc. ARDC , ARDC,  16.37 
Ares Management L.P.  representing Limited Partner Interests ARES , ARES,  21.95 
Argo Group International Holdings, Ltd. 6.5% Senior Notes Due 2042 ARGD , ARGD,  25.15 
Argo Group International Holdings, Ltd. ARGO , ARGO,  61.40 
Aramark ARMK , ARMK,  38.57 
Arconic Inc. ARNC , ARNC,  17.75 
Archrock, Inc. AROC , AROC,  11.75 
Arrow Electronics, Inc. ARW , ARW,  75.38 
ASA  Gold and Precious Metals Limited ASA , ASA,  10.42 
Associated Banc-Corp ASB , ASB,  27.85 
Ardmore Shipping Corporation ASC , ASC,  8.15 
Liberty All-Star Growth Fund, Inc. ASG , ASG,  5.995 
ASGN Incorporated ASGN , ASGN,  77.99 
Ashland Global Holdings Inc. ASH , ASH,  78.18 
Ashland Global Holdings Inc. ASH , ASH,  78.18 
AdvanSix Inc. ASIX , ASIX,  37.36 
Avino Silver & Gold Mines Ltd.  (Canada) ASM , ASM,  1.3115 
Aspen Aerogels, Inc. ASPN , ASPN,  5.05 
Grupo Aeroportuario del Sureste, S.A. de C.V. ASR , ASR,  159.87 
Asterias Biotherapeutics, Inc. Common Series A AST , AST,  1.60 
ASE Industrial Holding Co., Ltd. American Depositary Shares (each representing Two ) ASX , ASX,  5.01 
Atlantic Power Corporation Ordinary Shares (Canada) AT , AT,  2.20 
A10 Networks, Inc. ATEN , ATEN,  6.48 
Adtalem Global Education Inc. ATGE , ATGE,  48.20 
Autohome Inc. American Depositary Shares, each representing one class A ordinary share. ATHM , ATHM,  113.61 
Allegheny Technologies Incorporated ATI , ATI,  28.76 
Atkore International Group Inc. ATKR , ATKR,  21.76 
Actinium Pharmaceuticals, Inc. (Delaware) ATNM , ATNM,  0.40 
Atmos Energy Corporation ATO , ATO,  87.98 
AptarGroup, Inc. ATR , ATR,  92.77 
Atento S.A. Ordinary Shares ATTO , ATTO,  7.60 
Actuant Corporation ATU , ATU,  23.55 
Altice USA, Inc. Class A ATUS , ATUS,  20.08 
Altice USA, Inc. Class A  Additional Shares When Issued ATUSw , ATUSw,  17.97 
Acorn International, Inc. ADS ATV , ATV,  34.78 
AngloGold Ashanti Limited AU , AU,  8.70 
Auryn Resources Inc. AUG , AUG,  1.27 
Golden Minerals Company AUMN , AUMN,  0.40 
AU Optronics Corp American Depositary Shares AUO , AUO,  4.41 
Yamana Gold Inc. Ordinary Shares (Canada) AUY , AUY,  2.87 
Avista Corporation AVA , AVA,  52.43 
Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares) AVAL , AVAL,  8.67 
American Vanguard Corporation  ($0.10 Par Value) AVD , AVD,  22.05 
Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares) AVH , AVH,  7.67 
